iso3,country,period,year,quarter,reporting_mode,ytd_share,source_extraction_date,source_currency,source_units,usd_exchange_rate,portal_value_usd_mn,penetr_gen,penetr_fam,densite_gen,densite_fam,equity_assets_gen,equity_assets_fam,retention_gen,retention_fam,retention_num_gen,retention_den_gen,retention_num_fam,retention_den_fam,opex_ratio_gen,opex_ratio_fam,invest_income_gen,invest_income_fam,operateurs_gen,operateurs_fam,gwc_gen,gwc_fam,nwc_gen,nwc_fam,gwc_gen_flux,gwc_fam_flux,nwc_gen_flux,nwc_fam_flux
ARE,United Arab Emirates,2019Q1,2019,1,quarterly flow,0.0,2026-07-19,USD,G,3.6725,243.795795,0.198068,0.116864,8157.209778,4812.922636,1.86362,24.935985,52.75128,68.205522,128605401.383209,243795795.161572,100146200.009536,146830047.57125,88.261263,90.696396,-5.354141,0.72972,6.0,2.0,243795795.161572,146830047.57125,128605401.383209,100146200.009536,243795795.161572,146830047.57125,128605401.383209,100146200.009536
ARE,United Arab Emirates,2019Q2,2019,2,quarterly flow,0.0,2026-07-19,USD,G,3.6725,192.888514,0.201573,0.120832,8301.571435,4976.326115,1.717254,24.531279,46.113693,77.419159,88948017.189458,192888513.757016,85577389.482317,110537740.75173,114.43483,101.070239,-3.443173,0.251494,6.0,2.0,192888513.757016,110537740.75173,88948017.189458,85577389.482317,192888513.757016,110537740.75173,88948017.189458,85577389.482317
ARE,United Arab Emirates,2019Q3,2019,3,quarterly flow,0.0,2026-07-19,USD,G,3.6725,192.426314,0.205776,0.122174,8474.670749,5031.598,1.265396,24.86368,52.349835,87.697855,100734856.974655,192426313.584546,96325227.936897,109837609.477685,102.266361,100.842508,-6.648128,-0.102588,6.0,2.0,192426313.584546,109837609.477685,100734856.974655,96325227.936897,192426313.584546,109837609.477685,100734856.974655,96325227.936897
ARE,United Arab Emirates,2019Q4,2019,4,quarterly flow,0.0,2026-07-19,USD,G,3.6725,160.372563,0.20094,0.117681,8275.505087,4846.557554,1.286386,26.062589,57.435483,71.675875,92110755.761443,160372562.821994,68204033.541496,95156192.885946,84.375776,127.295584,-17.5377,0.4192,6.0,2.0,160372562.821994,95156192.885946,92110755.761443,68204033.541496,160372562.821994,95156192.885946,92110755.761443,68204033.541496
ARE,United Arab Emirates,2020Q1,2020,1,quarterly flow,0.0,2026-07-19,USD,G,3.6725,270.472825,0.199899,0.116864,8233.048533,4813.18492,79.050487,81.825829,52.636294,81.193963,142366870.510619,270472824.768392,101735683.378747,125299566.757493,90.898922,55.00712,-5.574034,-2.333554,6.0,2.0,270472824.768392,125299566.757493,142366870.510619,101735683.378747,270472824.768392,125299566.757493,142366870.510619,101735683.378747
ARE,United Arab Emirates,2020Q2,2020,2,quarterly flow,0.0,2026-07-19,USD,G,3.6725,180.167145,0.201573,0.120832,8302.023837,4976.597305,82.524238,76.580172,50.255013,73.354057,90543021.875896,180167144.72752,61547575.171117,83904800.475749,109.466234,140.604531,-6.420144,1.472153,6.0,2.0,180167144.72752,83904800.475749,90543021.875896,61547575.171117,180167144.72752,83904800.475749,90543021.875896,61547575.171117
ARE,United Arab Emirates,2020Q3,2020,3,quarterly flow,0.0,2026-07-19,USD,G,3.6725,169.815557,0.205776,0.122174,8475.132584,5031.872201,81.296712,73.474374,45.192043,70.416637,76743119.375698,169815556.802725,72258081.3,102615069.532153,118.187448,106.842259,-6.816364,1.184849,6.0,2.0,169815556.802725,102615069.532153,76743119.375698,72258081.3,169815556.802725,102615069.532153,76743119.375698,72258081.3
ARE,United Arab Emirates,2020Q4,2020,4,quarterly flow,0.0,2026-07-19,USD,G,3.6725,144.449889,0.20094,0.117681,8275.956068,4846.821672,74.112365,59.525363,52.162982,7.375178,75349369.985464,144449889.20545,7574141.870572,102697751.290191,121.351848,251.617847,-7.275925,0.207038,6.0,2.0,144449889.20545,102697751.290191,75349369.985464,7574141.870572,144449889.20545,102697751.290191,75349369.985464,7574141.870572
ARE,United Arab Emirates,2021Q1,2021,1,quarterly flow,0.0,2026-07-19,USD,G,3.67,249.349205,0.207257,0.119205,7444.45618,4281.714686,67.746625,55.671705,51.868879,68.739099,129334637.768892,249349205.092643,95253176.66812,138572046.847411,71.944953,73.258852,-6.478214,0.270104,6.0,2.0,249349205.092643,138572046.847411,129334637.768892,95253176.66812,249349205.092643,138572046.847411,129334637.768892,95253176.66812
ARE,United Arab Emirates,2021Q2,2021,2,quarterly flow,0.0,2026-07-19,USD,G,3.67,175.060584,0.205834,0.126752,7393.344999,4552.813226,61.662663,43.331896,49.297234,70.090386,86300026.000763,175060584.207357,77793655.8297,110990480.575749,89.491838,102.34315,-9.489297,1.017637,6.0,2.0,175060584.207357,110990480.575749,86300026.000763,77793655.8297,175060584.207357,110990480.575749,86300026.000763,77793655.8297
ARE,United Arab Emirates,2021Q3,2021,3,quarterly flow,0.0,2026-07-19,USD,G,3.67,159.750443,0.203029,0.126508,7292.604029,4544.047508,64.81285,42.588084,49.585121,57.376201,79212450.190153,159750442.922616,58374133.014441,101739279.376294,104.640078,124.312505,10.12793,0.268562,6.0,2.0,159750442.922616,101739279.376294,79212450.190153,58374133.014441,159750442.922616,101739279.376294,79212450.190153,58374133.014441
ARE,United Arab Emirates,2021Q4,2021,4,quarterly flow,0.0,2026-07-19,USD,G,3.67,166.539108,0.209184,0.158592,7513.693367,5696.453915,68.76437,43.144832,53.945818,67.397268,89840884.699963,166539108.488011,56244127.061308,83451642.842234,113.148591,141.589327,-5.669203,0.981843,6.0,2.0,166539108.488011,83451642.842234,89840884.699963,56244127.061308,166539108.488011,83451642.842234,89840884.699963,56244127.061308
ARE,United Arab Emirates,2022Q1,2022,1,quarterly flow,0.0,2026-07-19,USD,G,3.67,212.24293,0.140601,0.076825,7558.344616,4129.882027,67.604116,46.296846,54.52148,70.620679,115717986.793461,212242929.821798,66189998.716894,93726086.938147,77.093231,74.260658,-9.650499,-0.476625,5.0,2.0,212242929.821798,93726086.938147,115717986.793461,66189998.716894,212242929.821798,93726086.938147,115717986.793461,66189998.716894
ARE,United Arab Emirates,2022Q2,2022,2,quarterly flow,0.0,2026-07-19,USD,G,3.67,181.98428,0.141965,0.075073,7631.680081,4035.723863,64.398085,47.349871,54.194723,61.808743,98625875.941689,181984280.119619,63107275.23624,102100886.865123,86.82854,57.700627,-10.153536,-1.185232,5.0,2.0,181984280.119619,102100886.865123,98625875.941689,63107275.23624,181984280.119619,102100886.865123,98625875.941689,63107275.23624
ARE,United Arab Emirates,2022Q3,2022,3,quarterly flow,0.0,2026-07-19,USD,G,3.67,193.517794,0.148619,0.07055,7989.342293,3792.602892,65.340585,48.94653,57.733056,64.049727,111723737.086104,193517793.658583,50462162.976567,78785914.833787,96.352729,75.040985,-9.278647,-0.347184,4.0,2.0,193517793.658583,78785914.833787,111723737.086104,50462162.976567,193517793.658583,78785914.833787,111723737.086104,50462162.976567
ARE,United Arab Emirates,2022Q4,2022,4,quarterly flow,0.0,2026-07-19,USD,G,3.67,191.21923,0.153481,0.070387,8250.752991,3783.830336,63.623207,48.607691,53.858265,56.695189,102987359.215259,191219229.719891,46843501.238965,82623414.5297,106.942424,114.018959,-9.746938,0.266307,4.0,2.0,191219229.719891,82623414.5297,102987359.215259,46843501.238965,191219229.719891,82623414.5297,102987359.215259,46843501.238965
ARE,United Arab Emirates,2023Q1,2023,1,quarterly flow,0.0,2026-07-19,USD,G,,280.507654,,,7933.909524,3240.295336,24.212758,23.225966,54.42824,59.436802,152675379.971935,280507654.390612,49039246.09346,82506535.774387,86.62251,120.488365,-3.840231,0.364107,4.0,2.0,280507654.390612,82506535.774387,152675379.971935,49039246.09346,280507654.390612,82506535.774387,152675379.971935,49039246.09346
ARE,United Arab Emirates,2023Q2,2023,2,quarterly flow,0.0,2026-07-19,USD,G,,226.000591,,,7993.791613,3320.134941,23.46114,21.719364,51.3595,57.453486,116072774.50545,226000591.018033,63558840.720708,110626603.855586,106.608592,93.258085,-2.48974,0.570319,4.0,2.0,226000591.018033,110626603.855586,116072774.50545,63558840.720708,226000591.018033,110626603.855586,116072774.50545,63558840.720708
ARE,United Arab Emirates,2023Q3,2023,3,quarterly flow,0.0,2026-07-19,USD,G,,216.721527,,,8012.574337,3387.921801,23.439931,22.932866,44.628853,71.877457,96720332.602992,216721527.376893,61832274.852316,86024572.649591,128.199452,78.410321,-3.743472,0.223542,4.0,2.0,216721527.376893,86024572.649591,96720332.602992,61832274.852316,216721527.376893,86024572.649591,96720332.602992,61832274.852316
ARE,United Arab Emirates,2023Q4,2023,4,quarterly flow,0.0,2026-07-19,USD,G,,231.072554,,,8154.787451,3450.498902,21.763138,21.195429,52.16425,57.841437,120537265.367617,231072553.608735,51655726.589918,89305745.221253,125.452292,113.074675,-3.05967,0.821289,4.0,2.0,231072553.608735,89305745.221253,120537265.367617,51655726.589918,231072553.608735,89305745.221253,120537265.367617,51655726.589918
BHR,Bahrain,2019Q1,2019,1,year-to-date,1.0,2026-07-19,NC,K,,21.671202,,,,,65.743945,118.64237,65.092617,85.74869,14106.352734,21671.202372,3519.402236,4104.321857,,,,,6.0,5.0,21671.202372,4104.321857,14106.352734,3519.402236,21671.202372,4104.321857,14106.352734,3519.402236
BHR,Bahrain,2019Q2,2019,2,year-to-date,1.0,2026-07-19,NC,K,,39.751341,,,,,68.672291,116.71279,67.26683,79.841063,26739.467308,39751.341411,4834.306056,6054.911972,,,,,6.0,5.0,39751.341411,6054.911972,26739.467308,4834.306056,18080.139039,1950.590115,12633.114574,1314.9038200000005
BHR,Bahrain,2019Q3,2019,3,year-to-date,1.0,2026-07-19,NC,K,,57.75592,,,,,70.906492,117.095623,67.493541,82.446103,38981.515495,57755.920138,8415.586406,10207.379226,,,,,6.0,5.0,57755.920138,10207.379226,38981.515495,8415.586406,18004.578727,4152.467253999999,12242.048187,3581.28035
BHR,Bahrain,2019Q4,2019,4,year-to-date,1.0,2026-07-19,NC,K,,75.646253,,,,,73.850634,105.578189,65.486052,84.276664,49537.744129,75646.252762,13009.854203,15437.077769,,,,,6.0,5.0,75646.252762,15437.077769,49537.744129,13009.854203,17890.332624000002,5229.698543,10556.228634,4594.267797
BHR,Bahrain,2020Q1,2020,1,year-to-date,1.0,2026-07-19,NC,K,,22.722648,,,,,65.503752,99.25968,66.118233,73.648775,15023.813474,22722.648104,1877.856477,2549.745695,,,,,6.0,5.0,22722.648104,2549.745695,15023.813474,1877.856477,22722.648104,2549.745695,15023.813474,1877.856477
BHR,Bahrain,2020Q2,2020,2,year-to-date,1.0,2026-07-19,NC,K,,39.822258,,,,,68.104485,98.943431,66.794192,61.516865,26598.955808,39822.258495,2501.346061,4066.114353,,,,,6.0,5.0,39822.258495,4066.114353,26598.955808,2501.346061,17099.610391000002,1516.3686579999999,11575.142333999998,623.4895840000001
BHR,Bahrain,2020Q3,2020,3,year-to-date,1.0,2026-07-19,NC,K,,55.199211,,,,,73.546073,98.317509,65.90164,60.771539,36377.185632,55199.211324,3271.912792,5383.955746,,,,,6.0,5.0,55199.211324,5383.955746,36377.185632,3271.912792,15376.952829000002,1317.8413929999997,9778.229824000002,770.5667309999999
