iso3,period,year,quarter,penetr_gen,penetr_fam,densite_gen,densite_fam,equity_assets_gen,equity_assets_fam,retention_gen,retention_fam,opex_ratio_gen,opex_ratio_fam,invest_income_gen,invest_income_fam,operateurs_gen,operateurs_fam,gwc_gen,gwc_fam,nwc_gen,nwc_fam,gwc_gen_flux,gwc_fam_flux,nwc_gen_flux,nwc_fam_flux,wui_raw,wui_ma3,wui_global,specA,covid,ln_gwc_gen,ln_gwc_fam
ARE,2019Q1,2019,1,0.198068,0.116864,8157.209778,4812.922636,1.86362,24.935985,52.75128,68.205522,88.261263,90.696396,-5.354141,0.72972,6,2,243795795.161572,146830047.57125,128605401.383209,100146200.009536,243795795.161572,146830047.57125,128605401.383209,100146200.009536,0.2166691,0.0795251,36588.02,TRUE,FALSE,19.311841527781382,18.804786336927695
ARE,2019Q2,2019,2,0.201573,0.120832,8301.571435,4976.326115,1.717254,24.531279,46.113693,77.419159,114.43483,101.070239,-3.443173,0.251494,6,2,192888513.757016,110537740.75173,88948017.189458,85577389.482317,192888513.757016,110537740.75173,88948017.189458,85577389.482317,0.0740302,0.0441647,40489.04,TRUE,FALSE,19.077622931038363,18.5208675658733
ARE,2019Q3,2019,3,0.205776,0.122174,8474.670749,5031.598,1.265396,24.86368,52.349835,87.697855,102.266361,100.842508,-6.648128,-0.102588,6,2,192426313.584546,109837609.477685,100734856.974655,96325227.936897,192426313.584546,109837609.477685,100734856.974655,96325227.936897,0.0801732,0.03066,32800.98,TRUE,FALSE,19.075223851836846,18.514513555509854
ARE,2019Q4,2019,4,0.20094,0.117681,8275.505087,4846.557554,1.286386,26.062589,57.435483,71.675875,84.375776,127.295584,-17.5377,0.4192,6,2,160372562.821994,95156192.885946,92110755.761443,68204033.541496,160372562.821994,95156192.885946,92110755.761443,68204033.541496,0.0601576,0.0225165,52716.26,TRUE,FALSE,18.893010184039436,18.371030235094988
ARE,2020Q1,2020,1,0.199899,0.116864,8233.048533,4813.18492,79.050487,81.825829,52.636294,81.193963,90.898922,55.00712,-5.574034,-2.333554,6,2,270472824.768392,125299566.757493,142366870.510619,101735683.378747,270472824.768392,125299566.757493,142366870.510619,101735683.378747,0.0585686,0.0204019,55684.71,TRUE,TRUE,19.415682188240638,18.646217962218604
ARE,2020Q2,2020,2,0.201573,0.120832,8302.023837,4976.597305,82.524238,76.580172,50.255013,73.354057,109.466234,140.604531,-6.420144,1.472153,6,2,180167144.72752,83904800.475749,90543021.875896,61547575.171117,180167144.72752,83904800.475749,90543021.875896,61547575.171117,0.1863412,0.0451303,28914.37,TRUE,TRUE,19.009395559808652,18.24519338643649
ARE,2020Q3,2020,3,0.205776,0.122174,8475.132584,5031.872201,81.296712,73.474374,45.192043,70.416637,118.187448,106.842259,-6.816364,1.184849,6,2,169815556.802725,102615069.532153,76743119.375698,72258081.3,169815556.802725,102615069.532153,76743119.375698,72258081.3,0.1637358,0.0533336,27497.73,TRUE,TRUE,18.95022344603542,18.446495356447347
ARE,2020Q4,2020,4,0.20094,0.117681,8275.956068,4846.821672,74.112365,59.525363,52.162982,7.375178,121.351848,251.617847,-7.275925,0.207038,6,2,144449889.20545,102697751.290191,75349369.985464,7574141.870572,144449889.20545,102697751.290191,75349369.985464,7574141.870572,0.064834,0.0355518,22319.62,TRUE,TRUE,18.788443217866533,18.44730077875051
ARE,2021Q1,2021,1,0.207257,0.119205,7444.45618,4281.714686,67.746625,55.671705,51.868879,68.739099,71.944953,73.258852,-6.478214,0.270104,6,2,249349205.092643,138572046.847411,129334637.768892,95253176.66812,249349205.092643,138572046.847411,129334637.768892,95253176.66812,0.1943257,0.0508064,11888.73,TRUE,TRUE,19.33436490203331,18.746900942181878
ARE,2021Q2,2021,2,0.205834,0.126752,7393.344999,4552.813226,61.662663,43.331896,49.297234,70.090386,89.491838,102.34315,-9.489297,1.017637,6,2,175060584.207357,110990480.575749,86300026.000763,77793655.8297,175060584.207357,110990480.575749,86300026.000763,77793655.8297,0.4014222,0.1018781,18072.81,TRUE,TRUE,18.980642667446574,18.52495499502012
