series,iso3,eligible_years,ytd_share,ytd
gwc_gen,ARE,5,0.0,False
gwc_gen,BHR,4,1.0,True
gwc_gen,BRN,5,1.0,True
gwc_gen,JOR,4,1.0,True
gwc_gen,MYS,4,1.0,True
gwc_gen,NGA,4,1.0,True
gwc_gen,SAU,4,0.0,False
gwc_fam,ARE,5,0.0,False
gwc_fam,BHR,4,1.0,True
gwc_fam,BRN,5,1.0,True
gwc_fam,JOR,4,1.0,True
gwc_fam,MYS,4,1.0,True
gwc_fam,NGA,4,1.0,True
gwc_fam,SAU,4,0.0,False
nwc_gen,ARE,5,0.0,False
nwc_gen,BHR,4,1.0,True
nwc_gen,BRN,5,1.0,True
nwc_gen,JOR,4,1.0,True
nwc_gen,MYS,4,1.0,True
nwc_gen,NGA,4,1.0,True
nwc_gen,SAU,4,0.0,False
nwc_fam,ARE,5,0.0,False
nwc_fam,BHR,4,1.0,True
nwc_fam,BRN,5,1.0,True
nwc_fam,JOR,4,1.0,True
nwc_fam,MYS,4,1.0,True
nwc_fam,NGA,4,1.0,True
nwc_fam,SAU,4,0.0,False
